spotify_title,spotify_artist,release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot
Even A Child - Proverbs 20:11,Steve Green,2003,25,78760,0,0,1,0,0,0,0,0,0
I Saw an Angel,Pentangle,1969,12,172200,0,1,1,0,0,0,0,0,0
The Mighty Sb - Live,The Michael Landau Group,2006,4,597426,0,0,1,0,0,0,0,0,0
Begin the Beguine,Los Tres Diamantes,2023,0,179665,0,0,0,0,0,0,0,0,0
Rain from the Skies Mix 2,Delroy Wilson,2012,0,157786,0,1,0,0,0,0,0,0,0
Porque Yo Te Amo,Leonardo Favio,1989,28,205373,0,0,1,0,0,0,0,0,0
Heaven Only Knows,K-OS,2002,18,236173,0,0,1,0,0,0,0,0,0
Baby Can't Be Found,Bob Margolin,2023,0,208166,0,1,0,0,0,0,1,0,0
If You Smile at the Sun,Kitty Kallen,2019,0,147700,0,0,0,0,0,0,0,0,0
It Killed Mom - Live,Osees,2021,14,173946,0,0,1,0,0,0,0,0,0
Lover Come Back to Me,Candlebox,2008,31,283666,0,1,1,0,0,0,0,0,0
When,Wilshire,2003,0,180906,0,0,0,0,0,0,0,0,0
I Remember,Boosie Badazz,2006,36,243960,1,0,1,0,0,0,0,0,0
Disconnected,Cowboy Mouth,2016,10,211408,1,1,1,0,0,0,0,0,0
Beat Conductor,Autonomous Bass Heads,2008,0,308218,0,0,0,0,0,0,0,0,0
Jesus Laughing - Some Things Never Change Version,Mark Lowry,2003,5,207040,0,0,1,0,0,0,0,0,0
Been There All The Time,Dinosaur Jr.,2007,24,220666,0,1,1,0,0,0,0,0,0
Loca (a/k/a Crazy) (Version Banda),Marisela,2002,8,162560,0,0,1,0,0,0,0,0,0
Livre D'orgue (1951) : VII Soixante-Quatre Durées - Remasterisé En 2008,Olivier Messiaen,1992,0,648133,0,0,0,0,0,1,0,0,0
Fax Me,Supertalented,2009,0,96653,0,0,0,0,0,0,0,0,0
Making Up For Lost Time - Footprints In The Sand Album Version,Cristy Lane,1985,2,197173,0,0,1,0,0,0,0,0,0
Lord We Give You All the Praise,The Jackson Southernaires,1986,0,356093,0,0,0,0,0,0,0,0,0
Sensory Deprivation Adventure,From Autumn To Ashes,2007,19,173666,0,0,1,0,0,0,0,0,0
Tom Dooley,The Kingston Trio,1958,40,183973,0,0,1,0,0,0,0,0,0
A Brief History of Shitty Comedy,Patton Oswalt,2004,4,121960,1,0,1,0,0,0,0,0,0
Un Ojo Dimos,Barrio Obrero,2009,40,188946,0,0,1,0,0,0,0,0,0
Dying Batteries,Casiotone For The Painfully Alone,2001,3,51026,0,0,1,0,0,0,0,1,0
30 Days In The Hole,Humble Pie,1972,48,237266,0,1,1,0,0,0,1,0,0
A Baby's Born,James Ingram,1993,24,376693,0,0,1,0,0,0,0,0,0
Like a Prayer,Hot Wire,2009,0,194666,0,0,0,0,0,0,0,0,0
Look Up At The Stars And You're Gone,Evergreen Terrace,2001,2,159480,0,0,1,0,0,0,0,0,0
Cerilene,Sister Hazel,1997,13,332866,0,1,1,0,0,0,0,0,0
Faces,Run–D.M.C.,1990,11,267733,1,0,1,0,0,0,0,0,0
How Does It Feel,Avril Lavigne,2004,44,224933,0,0,1,0,0,0,0,0,0
Do It to Me,Sasha,2000,1,183160,0,0,1,0,0,0,0,0,0
Ola Ou Ye,Patrick Saint-Eloi,2013,32,317386,0,0,1,0,0,0,0,0,0
Let Me Play With Yo' YoYo,Blind Willie McTell,2007,0,188200,0,0,0,0,0,0,1,0,0
Part of Me,Vonray,2003,7,230093,0,0,1,0,0,0,0,0,0
Pack Your Bags (Koishii & Hush Dub),Leana,2008,0,494840,0,0,0,0,0,0,0,0,0
It Makes No Difference Now,Jimmie Davis,1995,17,142293,0,0,1,0,0,0,0,0,0
Hummingbird,Leon Russell,1997,34,241093,0,1,1,0,0,0,1,0,0
Much Against Everyone's Advice,Soulwax,1999,30,168266,0,1,1,0,1,0,0,1,0
"Thirteen - Live at Lafayette's Music Room, Memphis, TN, January 1973",Big Star,2009,1,181266,0,1,1,0,0,0,0,0,0
Where Do We Go Now But Nowhere?,Nick Cave & The Bad Seeds,1997,35,346066,1,1,1,0,0,0,0,0,0
Juliet,The Four Pennies,2006,15,143426,0,0,1,0,0,0,0,0,0
Let It Flow,Five Fingers of Funk,1998,1,176973,1,0,1,0,0,0,0,0,0
Afraid,Mötley Crüe,1997,36,247800,0,1,1,0,0,0,0,0,0
Let's Make Love,Faith Hill,1999,43,252893,0,0,1,0,0,0,0,0,0
Broken Radio '22,Jesse Malin,2022,30,221852,0,0,1,0,0,0,0,0,0
Amazing Grace,Bill Murk,2005,0,219103,0,0,0,0,0,0,0,0,0
Sonho,Nando Lauria,1992,11,352600,0,0,1,0,0,0,0,0,0
Flight To Jordan - Live,Tito Puente,2002,2,356346,0,0,1,1,0,0,0,0,0
Street Loafin' Woman,Jimmy McCracklin,2015,0,179493,0,0,0,0,0,0,1,0,0
Mother of Greed,Jason & The Scorchers,2010,1,252506,0,1,1,0,0,0,0,0,0
I Was Blind But Now I See,Greater Vision,2004,5,187893,0,0,1,0,0,0,0,0,0
Let the Music Use You,Jere McAllister,2004,0,467640,0,0,0,0,0,0,0,0,0
The Wrapper,Marco Beltrami,2009,0,172706,0,0,0,0,0,0,0,0,0
Les frelons - Live,Claire Elzière,2003,0,93066,0,0,0,0,0,0,0,0,0
Tule illoin,Fredi,1976,0,181359,0,0,1,0,0,0,0,0,0
Ready for the Love,Angela Stewart,2007,1,211280,0,0,1,0,0,0,0,0,0
Guardian Angel,Since The Flood,2008,1,195133,0,0,1,0,0,0,0,0,0
Class Compromise (History's Glory),The Business,2023,7,142600,0,0,1,0,0,0,0,0,0
Why Do You Have To Go?,The Dells,1954,0,155960,0,0,0,0,0,0,0,0,0
Once Again,Del Horno,2013,0,395520,0,0,0,0,0,0,0,0,0
Same Old Song and Dance,Aerosmith,1974,50,233567,0,1,1,0,0,0,0,0,0
Best Kept Secret,Dons,2006,0,240160,0,0,1,0,0,0,0,0,0
¿Y Cómo Es Él?,José Luis Perales,1982,70,248000,0,0,1,0,0,0,0,0,0
Tanguero - Instrumental,Laurindo Almeida,1985,1,232666,0,0,1,1,0,0,0,0,0
Freestyle Ministry - Server Verbals,KRS-One,2004,3,136960,0,0,1,0,0,0,0,0,0
Sleeping Annaleah - 2009 Remaster,Nick Cave & The Bad Seeds,2009,18,198293,0,1,1,0,0,0,0,0,0
South Side Rep Your Hood,Blingtones,2009,0,39183,0,0,0,0,0,0,0,0,0
Up All Night,Unwritten Law,2007,17,181766,0,0,1,0,0,0,0,0,0
Moving On,Constance Demby,1989,4,285760,0,0,1,0,0,0,0,0,0
To My Victim's Families,Birds Of Prey,2008,0,162493,0,0,0,0,0,0,0,0,0
Love Is An Uphill Climb,David Robertson,1996,0,285000,0,0,0,0,0,0,0,0,0
He Dreams Of Spaceships,Lorna,2006,1,273346,0,0,1,0,0,0,0,0,0
Stuck On Rewind,Rockit,2007,0,219613,0,0,0,0,0,0,0,0,0
Juncales,Juan Carmona,2002,0,370320,0,0,0,0,0,0,0,0,0
Open your Eyes,Call To Preserve,2008,0,199866,0,0,0,0,0,0,0,0,0
Red Wind,R. Carlos Nakai,1994,2,551800,0,0,1,0,0,0,0,0,0
Corner Story,Del The Funky Homosapien,1998,36,242866,1,0,1,0,0,0,0,0,0
Your Smile,James Darren,2023,0,153173,0,0,0,0,0,0,0,0,0
3 Deuces,Marcus Miller,2001,20,349626,0,0,1,1,0,0,0,0,0
Ta Min Vals - Take This Waltz,Ebba Forsberg,2009,22,372600,0,0,1,0,0,0,0,0,0
So Lonely,The Police,1978,64,289586,0,1,1,0,0,0,0,0,0
Sin Ti,Anthony Cruz,1993,11,325000,0,0,1,0,0,0,0,0,0
Frères de sang,Aurlus Mabélé,1996,0,363866,0,0,0,0,0,0,0,0,0
Mo lanmou,Patrick Saint-Eloi,2007,3,200880,0,0,1,0,0,0,0,0,0
Follow The Leader,Eric B. & Rakim,1988,38,336866,0,0,1,0,0,0,0,0,0
Room At The Bottom,Vince Guaraldi,1964,13,270760,0,0,1,1,0,0,0,0,0
Do Somethin' Crazy,The Mighty Mighty Bosstones,1989,11,147466,0,1,1,0,0,0,0,0,0
Entre autre pas en traître,Isabelle Adjani,1991,6,178666,0,0,1,0,0,0,0,0,0
Thine Is the Kingdom,Parachute Band,2007,0,285360,0,0,0,0,0,0,0,0,0
He Can't Love You (Remastered),Michael Stanley Band,1980,29,214613,0,1,1,0,0,0,0,0,0
Sonnenfreunde,Carl Crack,1998,2,78973,0,0,1,0,0,0,0,0,0
In A Letter To You,Eddy Raven,1998,33,202480,0,0,1,0,0,0,0,0,0
Pamella,Remmy Ongala,1989,5,325266,0,0,1,0,0,0,0,0,0
"I Love You, You Imbecile",Pelle Carlberg,2007,8,175973,0,0,1,0,0,0,0,1,0
Love Is so Unkind,Gabriela Anders,1998,12,228066,0,0,1,0,0,0,0,0,0
Greasers,Pre,2007,1,92720,0,1,1,0,0,0,0,0,0
Andra sidan,Sofia Karlsson,2009,11,173213,0,0,1,1,0,0,0,0,0
Linda Lou,Bob Wills & His Texas Playboys,1963,0,152466,0,0,0,0,0,0,0,0,0
Femme du guerrier - Chant,Les Ogres De Barback,1997,16,278333,0,1,1,0,0,0,0,0,0
Wildfire,P.O.D.,2003,28,195826,0,1,1,0,0,0,0,0,0
Worshipper's Medley,Darwin Hobbs,2005,16,621866,0,0,1,0,0,0,0,0,0
Johnny My Boy - Original,The Ad Libs,2006,0,164000,0,0,1,0,0,0,1,0,0
Hypergasm,Chaotica,1999,2,235026,0,1,1,0,0,0,0,0,0
Coming Undone,Korn,2005,74,199773,0,1,1,0,0,0,0,0,0
Don’t You Wish It Was True (Fogerty's Factory Version),John Fogerty,2020,32,232796,0,1,1,0,0,0,1,0,0
I've Been Loving You Too Long,Dionne Warwick,1969,5,214400,0,1,1,1,0,0,0,0,0
Leò S Place,Eric Burdon,2015,2,247614,0,0,1,0,0,0,1,0,0
Victims of the Occupation,Anne Dudley,2007,1,94693,0,0,1,0,0,0,0,0,0
就是愛妳,David Tao,2005,57,261906,0,0,1,0,0,0,0,0,0
A quoi ça sert,Julie Zenatti,2004,6,201653,0,0,1,0,0,0,0,0,0
Falling In Love,Uriah Heep,2004,10,171613,0,1,1,0,0,0,1,0,0
Close To The Well,Ivan Parker,2008,3,162240,0,0,1,0,0,0,0,0,0
[Hidden Track],Galactic,2000,3,89666,0,1,1,0,0,0,0,0,0
I'm Kinda Partial to His Puss,Nancy Walker,2012,0,215946,0,0,0,0,0,0,0,0,0
See The Lights - 2002 Digital Remaster,Simple Minds,1991,45,261874,0,1,1,0,0,0,0,0,0
Dolor,Los Traileros Del Norte,1999,6,185066,0,0,1,0,0,0,0,0,0
Little Bluebird,Little Milton,1973,17,392440,0,0,1,0,0,0,1,0,0
The Painter,The Rance Allen Group,2006,4,201280,0,0,1,0,0,0,0,0,0
Do You Want To,Franz Ferdinand,2005,60,215000,0,1,1,0,0,0,0,1,0
"Cincinnati, Ohio",Connie Smith,1967,15,131986,0,0,1,0,0,0,0,0,0
Ina Your Rights,Aswad,1981,1,279666,0,0,1,0,0,0,0,0,0
España Tiene Sabor,Los Niños De Sara,2011,6,224173,0,0,1,0,0,0,0,0,0
When The Sun Goes Down,Guitar Slim,2006,0,151640,0,0,0,0,0,0,1,0,0
The Son Shines Down On Me,Asleep At The Wheel,1973,1,244240,0,0,1,0,0,0,0,0,0
時光本是無罪,Sandy Lam,2005,8,218035,0,0,1,0,0,0,0,0,0
Not Missing You,Inspector 9,2000,0,267867,0,0,0,0,0,0,0,0,0
Hope For The Fallen,Call To Preserve,2008,2,175453,0,0,1,0,0,0,0,0,0
No Rainbow,Deadboy & The Elephantmen,2005,15,275466,0,1,1,0,0,0,0,0,0
Show Some Sign,The Jackson Southernaires,1995,0,273693,0,0,0,0,0,0,0,0,0
Little Bar Butterfly,Mae West,2022,0,95080,0,0,0,0,0,0,0,0,0
Too Much Fun,Commander Cody and His Lost Planet Airmen,1990,7,220133,0,1,1,0,0,0,0,0,0
Evenglow,David & Steve Gordon,1982,5,313413,0,0,1,0,0,0,0,0,0
My Butcher Man,Memphis Minnie,1991,2,177906,0,0,1,0,0,0,1,0,0
This Love,Maroon 5,2002,81,206200,0,0,1,0,0,0,0,0,0
Approach To Danger,N.W.A.,1991,32,165558,1,0,1,0,0,0,0,0,0
Big Woman,Washboard Sam,1993,0,171624,0,0,0,0,0,0,1,0,0
Unforgettable Season,Cut Copy,2008,23,195160,0,1,1,0,1,0,0,1,0
Somebody Changed the Lock,Tarheel Slim,2008,0,153626,0,0,0,0,0,0,0,0,0
Only When I'm Drunk,Tha Alkaholiks,1993,27,217360,1,0,1,0,0,0,0,0,0
Hank and Joe and Me,Johnny Cash,2022,16,132310,0,1,1,0,0,0,0,0,0
Spanish Nights (Live),Michael Stanley Band,2016,2,393973,0,1,1,0,0,0,0,0,0
Framed - Remastered 2002,The Sensational Alex Harvey Band,1972,21,296666,0,1,1,0,0,0,0,0,0
If I Ever Saw a Good Thing,Tony Joe White,1972,24,201040,0,1,1,0,0,0,1,0,0
Far Beyond the Endless,Moist,2012,9,247962,0,0,1,0,0,0,0,0,0
Lonely,Akon,2005,77,235800,1,0,1,0,0,0,0,0,0
每天愛你多一些,Leon Lai,2007,11,258812,0,0,1,0,0,0,0,0,0
Slide In - Slide Out,Capital Tax,2006,0,252120,1,0,0,0,0,0,0,0,0
Talking About It Blues,Otis Taylor,2009,1,285853,0,0,1,0,0,0,1,0,0
Gaita Pueblera,Gran Coquivacoa,2005,39,163480,0,0,1,0,0,0,0,0,0
Somewhere out There,Deodato,1989,0,283053,0,0,0,1,0,0,0,0,0
Sanchez Family,Harry Gregson-Williams,2004,10,287066,0,0,1,0,0,0,0,0,0
Le Beeatch - Phonat Remix,Trafik,2008,0,276190,0,0,0,0,0,0,0,0,0
Frank's Plea,Marco Beltrami,2004,1,160733,0,0,1,0,0,0,0,0,0
Quinze mai,Gus Viseur,2012,0,196640,0,0,0,1,0,0,0,0,0
Bricks And Mortar,The Jam,1977,17,157333,0,0,1,0,0,0,0,0,0
Matriarch,Michael White,1987,0,158560,0,0,0,0,0,0,0,0,0
I Think About You,Ray Barretto,2006,1,272946,0,0,1,1,0,0,0,0,0
Plage De Belle Maison - Île D'yeu-Suite,Thomas Battenstein,2019,0,237800,0,0,0,0,0,0,0,0,0
You And Only You,FFH,2003,2,215506,0,1,1,0,0,0,0,0,0
"I Adara, To Lenaki Ki I Rinio - Remastered 2006",Vicky Mosholiou,2007,1,218093,0,0,1,0,0,0,0,0,0
Mental Beat,Hanoi Rocks,1983,10,302733,0,1,1,0,0,0,0,0,0
Won't You Spread Some Flowers On My Grave,Guitar Slim,2008,0,183440,0,0,0,0,0,0,1,0,0
Thump Thump Da Box,DJ Phiene,2009,0,190549,0,0,0,0,0,0,0,0,0
Scars and Souvenirs Intro,Max Stalling,2007,1,43853,0,0,1,0,0,0,0,0,0
Talkin' Bout A Revolution,6cyclemind,2007,12,278386,0,0,1,0,0,0,0,0,0
Luna Latina,Néstor Torres,1999,8,330466,0,0,1,0,0,0,0,0,0
To Bob Ross with Love,Gym Class Heroes,2005,21,158653,1,0,1,0,0,0,0,0,0
Cross The Bridge,Beenie Man,1994,3,219400,0,0,1,0,0,0,0,0,0
The Distance,Bon Jovi,2002,28,288426,0,1,1,0,0,0,0,0,0
Jambalaya (On The Bayou),Johnny Copeland,1992,3,222000,0,0,1,0,0,0,1,0,0
Comeback,Eric Burdon,2011,0,124813,0,0,0,0,0,0,1,0,0
I Give Up,Stellar Kart,2009,2,171253,0,1,1,0,0,0,0,0,0
Une Java,Albert Préjean,2010,0,185733,0,0,0,0,0,0,0,0,0
I Dunno,The Georgia Satellites,1989,12,190400,0,1,1,0,0,0,0,0,0
"Main Theme from Jaws (From ""Jaws"")",John Williams,2010,0,430933,0,0,0,0,0,0,0,0,0
"Mine, All Mine",Jimmy Wakely,2020,10,179350,0,0,1,0,0,0,0,0,0
The Small Print,Muse,2003,47,208737,0,1,1,0,0,0,0,0,0
Termites in the Bathtub,Dntel,2008,0,265466,0,0,0,0,1,0,0,1,0
Rock n' Roll,Generation X,2003,8,183800,0,0,1,0,0,0,0,0,0
You Forget Me Too Easily,Vivian Ha,2021,2,187336,0,0,1,0,0,0,0,0,0
Shut Up,Pretty Boy Floyd,2004,4,236053,0,1,1,0,0,0,0,0,0
This is My Father's World/For the Beauty of the Earth,Glad,1994,3,232866,0,0,1,0,0,0,0,0,0
Paper Aeroplane,KT Tunstall,2007,17,196786,0,1,1,0,0,0,0,0,0
Agenda Zwei Null Eins Null - Live,Django Asül,2004,3,365733,0,0,1,0,0,0,0,0,0
From a Jack to a King,Ned Miller,2021,40,133342,0,0,1,0,0,0,0,0,0
Drinkin' Wine - Remastered 2022,Jumpin' Gene Simmons,2023,5,158980,0,0,1,0,0,0,0,0,0
Crazy,Aerosmith,1993,72,316826,0,1,1,0,0,0,0,0,0
Out In The Streets,The Shangri-Las,1996,37,167093,0,1,1,0,0,0,0,0,0
La vie d'artiste,Michèle Arnaud,2007,0,161093,0,0,0,0,0,0,0,0,0
After the Glitter Fades,Glen Campbell,1984,3,166173,0,1,1,0,0,0,0,0,0
Viimeinen lento,Kaija Koo,2007,21,180506,0,1,1,0,0,0,0,0,0
Wanted Dead Or Alive,L.A. Guns,2009,0,300720,0,1,0,0,0,0,0,0,0
Scrimmage,Gerald Clayton,2009,2,393666,0,0,1,1,0,0,0,0,0
Farenheit 303,Orbital,1991,17,504466,0,0,1,0,1,0,0,0,0
Give My Heart a Break AKA You Don't Seem to Understand,Jimmy McCracklin,1991,0,184400,0,0,0,0,0,0,1,0,0
So It Goes,Mister Ries,2007,0,192000,1,0,0,0,0,0,0,0,0
summer jam,Set Your Goals,2009,28,185866,0,0,1,0,0,0,0,0,0
India Revisited,Jeff Wahl,2020,0,260547,0,0,0,0,0,0,0,0,0
Horn Webb - Instrumental,Art Ensemble Of Chicago,2004,0,1179680,0,0,0,1,0,0,0,0,0
Come Emmanuel,Twila Paris,2003,10,206019,0,1,1,0,0,0,0,0,0
Vegetable,Radiohead,1993,47,192666,0,1,1,0,0,0,0,1,0
Contagious,Ill Harmonics,2004,0,267880,0,0,0,0,0,0,0,0,0
Amazing Grace,Dropkick Murphys,1999,39,158600,0,1,1,0,0,0,0,0,0
Star Signs,Leona Naess,2003,4,292906,0,0,1,0,0,0,0,0,0
Rock Around the Christmas Tree,Daniel Johnston,2006,17,130892,0,1,1,0,0,0,0,0,0
Love Round The Corner,The Motors,1995,2,161600,0,1,1,0,0,0,0,0,0
After Hours,Phantom Planet,2004,11,164026,0,0,1,0,0,0,0,0,0
Night Time,Suicide,2004,1,394800,0,1,1,0,0,0,0,0,0
Real People,Apache Indian,1997,3,305066,0,0,1,0,0,0,0,0,0
Psihi Mou Moni,Peggy Zina,2008,0,263440,0,0,1,0,0,0,0,0,0
So Much Love,The Shangri-Las,2009,1,134693,0,1,1,0,0,0,0,0,0
The Everlasting Gaze - A Static Lullaby,A Static Lullaby,2005,1,241120,0,0,1,0,0,0,0,0,0
Outta Control - Remix,50 Cent,2005,49,248253,1,0,1,0,0,0,0,0,0
We Don't Need It,Junior M.A.F.I.A.,1997,3,259826,0,0,1,0,0,0,0,0,0
It’s Too Late Now,Prozak,2008,0,195466,1,0,0,0,0,0,0,0,0
La Vida - Versión Remasterizada 2008,Los Fabulosos Cadillacs,1999,48,172306,0,1,1,0,0,0,0,0,0
"Do It, Fluid",The Blackbyrds,1974,33,324377,0,0,1,1,0,0,0,0,0
Criteria,Shaggy,2007,14,223466,0,0,1,0,0,0,0,0,0
Missing You,Anthony Watson,2004,1,248293,0,0,1,0,0,0,0,0,0
Shed so Many Tears,Johnny Winter,2015,0,136080,0,1,0,0,0,0,1,0,0
En écoutant mon coeur chanter,Line Renaud,2008,0,173533,0,0,0,0,0,0,0,0,0
Lixuneanos - martinez haunting voices remix,Rui Da Silva,2006,0,468933,1,0,0,0,1,0,0,0,0
Pretty Little Thing,Dale Hawkins,2005,0,168547,0,1,0,0,0,0,0,0,0
Drunnhvíta Elevator,John Tchicai,2013,0,191920,0,0,0,1,0,0,0,0,0
Chile con carne,Gabriel Yared,2006,20,194933,0,0,1,0,0,0,0,0,0
Oración,Heroes Del Silencio,1990,41,248586,0,1,1,0,0,0,0,0,0
"Concerto for Orchestra, Sz. 116: II. Giuoco della coppie. Allegretto scherzando",Béla Bartók,2007,17,410800,0,0,1,0,0,1,0,0,0
Ho Shit,5th Ward Boyz,2013,0,189280,1,0,0,0,0,0,0,0,0
Mountain Theme,Bruce Rowland,1982,24,114000,0,0,1,0,0,1,0,0,0
You Found Me,MxPx,1995,11,151200,0,0,1,0,0,0,0,0,0
"El Ultimo Romántico: ""Romanza de tenor"" - Remastered",Reveriano Soutullo,2009,4,245280,0,0,1,0,0,0,0,0,0
Midnight Train,Darden Smith,1978,0,227373,0,0,0,0,0,0,0,0,0
Ain't No Tellin',Sonny Terry and Brownie McGhee,2003,0,173387,0,0,0,0,0,0,1,0,0
P.S. I Love You,James Darren,2023,0,169586,0,0,0,0,0,0,0,0,0
Bop Till You Drop,Michael Stanley Band,1986,0,264040,0,1,0,0,0,0,0,0,0
Céu do Brasil,Nouvelle,2000,0,229520,0,0,0,0,0,0,0,0,0
School Spirit Skit 2,Kanye West,2004,46,43533,1,0,1,0,0,0,0,0,0
Vos Sabes,Los Fabulosos Cadillacs,2004,40,190106,0,1,1,0,0,0,0,0,0
Hold on ! I'm Comin,Bill Cosby,1968,2,156400,0,0,1,0,0,0,0,0,0
Strangers In The Night,Glen Washington,2000,38,206333,0,1,1,0,0,0,0,0,0
Lament for Frankie,Solas,1996,8,194933,0,0,1,0,0,0,0,0,0
Good News,The Kingston Trio,1959,8,121440,0,0,1,0,0,0,0,0,1
Squanderer,Shriekback,2007,0,234693,0,0,0,0,0,0,0,0,0
I Love Rock n' Roll,Jessica Myrberg,2011,1,172760,0,0,1,0,0,0,0,0,0
Dos imposibles,Diego Vasallo,2006,1,225466,0,0,1,0,0,0,0,0,0
Turning Of A Key,Michael Gettel,1993,6,272160,0,0,1,0,0,0,0,0,0
Boots The Monkey!,Dora The Explorer,2004,8,38226,0,0,1,0,0,0,0,0,0
Too Shy To Scream,AFI,2009,30,176640,0,0,1,0,0,0,0,0,0
Sugar Buzz,Russell Malone,2004,1,286666,0,0,1,1,0,0,0,0,0
Mi Mas Agapas,Angela Dimitriou,2006,7,215986,0,0,1,0,0,0,0,0,0
Dame Un Besito,Andy & Lucas,2001,24,204653,0,0,1,0,0,0,0,0,0
Fiel Enamorado,Estrellas Cubanas,2004,0,329973,0,0,0,0,0,0,0,0,0
She Is,The Fray,2005,49,236533,0,1,1,0,0,0,0,0,0
Dry Bone Shuffle,Blind Blake,2018,1,165480,0,0,1,0,0,0,1,0,0
Ouverture,Richard Wagner,2018,4,596653,0,0,1,0,0,1,0,0,0
Gir Dig Mer,Nik & Jay,2006,22,209426,0,0,1,0,0,0,0,0,0
Warfare (feat. Joell Ortiz),Joe Budden,2008,6,173810,0,0,1,0,0,0,0,0,0
The Message,Grandmaster Flash,2010,34,429293,0,0,1,0,0,0,0,0,0
Games People Play,The Jordanaires,2019,0,167266,0,0,0,0,0,0,0,0,0
These Days,Ayọ,2006,19,288226,0,0,1,0,0,0,0,0,0
Slip Kid,The Who,1975,26,271733,0,1,1,0,0,0,0,0,0
Lead Me To The Cross,Seventh Day Slumber,2009,26,290946,0,1,1,0,0,0,0,0,0
Toca Me - Belinda & Maze Mix,Flexy,2004,0,415746,0,0,0,0,0,0,0,0,0
Everybody Loves Me But You,Brenda Lee,2006,27,150360,0,1,1,0,0,0,0,0,0
A True,Sugar Minott,2010,0,219280,0,1,0,0,0,0,0,0,0
Psychopath,Lizzy Borden,1985,16,218666,0,0,1,0,0,0,0,0,0
Rollin' Down To Jordan,Birmingham Jubilee Singers,1995,0,200124,0,0,0,0,0,0,0,0,0
Visions (20/20),FU-Schnickens,1994,16,313533,0,0,1,0,0,0,0,0,0
Sarapatel Humano,Márcio Faraco,2002,7,293440,0,0,1,0,0,0,0,0,0
Abagui Alobi,Patience Dabany,1994,1,370333,0,0,1,0,0,0,0,0,0
Last Night - Clean Album Version,Northern State,2004,0,208080,0,0,0,0,0,0,0,0,0
Problem Solver,Valient Thorr,2006,2,200586,0,0,1,0,0,0,0,0,0
Circumstances,Johnny Copeland,1992,0,305666,0,0,0,0,0,0,1,0,0
Who's 2 Blame,Mix Mob,2002,1,237583,0,0,1,0,0,0,0,0,0
Mother-In-Law Blues,Little Junior Parker,2000,3,155026,0,0,1,0,0,0,0,0,0
Listen Up,Jedi Mind Tricks,2006,18,242266,1,0,1,0,0,0,0,0,0
Peace,Billy Higgins,1989,0,315666,0,0,0,1,0,0,0,0,0
Move Mountains (Live),Jesus Jones,2019,1,187573,0,1,1,0,0,0,0,0,0
Have Fun Prelude,Speech,2003,0,24920,0,0,0,0,0,0,0,0,0
Dreams - Original,Dan Moretti,2006,0,341500,0,0,0,0,0,0,0,0,0
Just Let Me Be In Love,Tracy Byrd,2001,5,226213,0,0,1,0,0,0,0,0,0
Pretend,Shelby Lynne,2008,37,186600,0,0,1,1,0,0,0,0,0
Calm - Live Edit,Circular,2013,1,436000,0,0,1,0,0,0,0,0,0
Now I Know - NORMAL,Bullethole,2003,0,228960,0,0,0,0,0,0,0,0,0
Ares Populares/Asa Branca,Moraes Moreira,1996,0,194400,0,0,0,0,0,0,0,0,0
I'll Never Get Over You,The Dee Jays,2003,0,123213,0,1,0,0,0,0,0,0,0
Poker Face,Lady Gaga,2008,80,237200,0,0,1,0,0,0,0,0,0
Wrong Decision - Instrumental,Vrse Murphy,2001,0,234240,0,0,0,0,0,0,0,0,0
Golfshirt Pt. 2,Nerf Herder,2008,9,147533,0,0,1,0,0,0,0,0,0
Nordmark,Yggdrasil,2009,0,329386,0,0,0,0,0,0,0,0,0
Rain Down on Me,KANE,2003,37,247626,0,1,1,0,0,0,0,0,0
Little Latin Lupe Lu,The Righteous Brothers,1963,34,140506,0,1,1,0,0,0,0,0,0
Youth Club Dance,The Cortinas,2013,0,178706,0,1,0,0,0,0,0,0,0
Party,Rodney O,1990,0,253840,1,0,0,0,0,0,0,0,0
You'll Know Where Your Plane Is... (Part 2),WHY?,2001,1,131880,0,0,1,0,0,0,0,1,0
Stinky Breath,Blingtones,2009,0,29900,0,0,0,0,0,0,0,0,0
"Baila Girl, Todo Hombre Llorando por Ti",Daddy Yankee,2003,21,181373,0,0,1,0,0,0,0,0,0
啤酒泡泡,Steve Chou,2000,17,323240,0,0,1,0,0,0,0,0,0
Cleo's Mood,James Taylor Quartet,2008,0,191013,0,0,0,1,0,0,0,0,0
Why Should I Cry For You,Mariano Yanani,2005,0,180653,0,0,0,0,0,0,0,0,0
Test 72,Mush,2009,0,384000,0,0,0,0,0,0,0,0,0
You Beat The Hell Outta Me,The Motors,1978,10,207865,0,1,1,0,0,0,0,0,0
Oye,Gertrudis,2005,8,207653,0,1,1,0,0,0,0,1,0
Kickstart My Heart,Between The Buried And Me,2006,16,295293,0,0,1,0,0,0,0,0,0
Irish Medley - Jigs,Jean Carnigan,2006,0,177466,0,0,0,0,0,0,0,0,0
Bang! Bang!,The Knux,2008,20,200560,1,0,1,0,0,0,0,0,0
Firehouse Rock,Wailing Souls,1900,28,252333,0,0,1,0,0,0,0,0,0
Ghosts: Second Variation,Albert Ayler,2014,8,603853,0,0,1,1,0,0,0,0,0
She Will Love You,Aiden,2007,17,256825,0,0,1,0,0,0,0,0,0
Olivia,Shinehead,1999,3,239426,0,0,1,0,0,0,0,0,0
